产品	产品编码	物料	物料编码	规格	材质	重量（kg）	工艺	含税单价	数量
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	定子组件	T44201234	OD180mm，L90mm浸漆定子组件	漆包线（铜）	2.07			1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	定子铁芯	T44211051.A0	OD180mm，L90mm，V+1	35W300	7.37	冲压		1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	机壳	T44101053.A0	拉伸机壳OD180mm，L168mm	6063-T5	3.3	拉伸		1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	转子铁芯	T45120071.A1	OD180mm，L30mm，V+1	35W300	1.57	冲压		3.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	电机轴	T45111251	L266.5mm，20CrMnTiH	20CrMnTiH	2.38	机加工		1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	永磁体	T45130071.A0	TZ180XBS17-200-0007	钕铁硼40UH	0.011	烧结		72.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	转子挡板	T45140051.A1	内外径45×117mm	A356	0.144	高压铸造		2.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	转子轴套	T45150801.A1	内外径45*57mm	45钢	0.075	机加工		1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	轴承压盖	T45170061.A2	内外径42×95mm	45钢	0.21	机加工		1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	轴承	T19100011.A1	BS6206-2Z/C3		0.197	标准件		1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	轴承	T19100013.A1	BS6208-2Z/C3		0.36	标准件		1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	前端盖	T46111197	OD180mm前端盖（双12/15行驶）	A356-T6	1.55	低压铸造		1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	后端盖	T46121183	OD180电机后端盖	ADC12	1.72	高压铸造		1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	接线盒	T46150992.A0	123×70×56mm	ADC12	0.581	高压铸造		1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	上盖板	T46160993.A0	不锈钢304/3mm	不锈钢304	1.38	机加工		1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	后盖板	T46160992.A0	旋变后盖板	不锈钢304	0.267	机加工		1.00
柳工3.5T双12行走电机总成	Genesis-Motor-TZ180-XDA7-80-01-A	三相盖板	T46171071.A0	不锈钢304/3mm	不锈钢304	0.228	机加工		1.00
